Visitor,count,state
197035,7,Alaska
13953,1,American Samoa
2089047,3,Arizona
1424484,1,Arkansas
1057355,9,California
1097783,4,Colorado
567170,3,Florida
1693005,1,Hawaii
522628,1,Kentucky
2563129,1,Maine
14560,1,Michigan
239160,1,Minnesota
2338528,1,Montana
107526,1,Nevada
1497889,1,New Mexico
559580,1,North Dakota
2189849,1,Ohio
535508,1,Oregon
120122,1,South Carolina
705058,2,South Dakota
10099276,1,Tennessee
240485,2,Texas
426930,1,United States Virgin Islands
1447829,5,Utah
1255321,1,Virginia
1510665,3,Washington
3152438,2,Wyoming
